,Unnamed: 0,cve_ent,poblacion,Nom_Ent,nom_mun,Total,febrero20,marzo20,abril20,mayo20,junio20,julio20,agosto20,septiembre20,octubre20,noviembre20,diciembre20,enero21,febrero21,marzo21,abril21,mayo21
269,269,9007,1815551,Ciudad de México,Iztapalapa,104128,1,137,1809,4353,3529,3642,3198,3705,5683,6732,19526,24685,11647,9825,4918,738
272,272,9010,755537,Ciudad de México,Álvaro Obregón,82983,0,84,547,1468,1867,2307,2385,2766,3263,6579,18347,20335,9787,7177,4854,1217
267,267,9005,1176967,Ciudad de México,Gustavo A. Madero,74434,2,58,1033,3035,3022,2930,3175,3849,4716,6078,13769,16398,7683,5306,2836,544
274,274,9012,682234,Ciudad de México,Tlalpan,64820,2,73,664,1480,1935,2467,2611,3146,3492,5470,13115,15647,6336,4968,2813,601
1680,1680,21114,1698509,Puebla,Puebla,53694,0,100,417,1887,5855,6055,3961,2443,2565,3176,5986,9704,5044,3836,2236,429
1797,1797,22014,976939,Querétaro,Querétaro,48723,0,29,94,573,843,1326,1943,1847,3881,6814,8219,11141,5347,4237,2107,322
338,338,11020,1679610,Guanajuato,León,43929,0,90,87,850,3733,5383,2850,1983,2314,4705,7178,8298,3941,1662,761,94
1839,1839,24028,870578,San Luis Potosí,San Luis Potosí,38653,0,39,63,345,970,3595,4287,3111,4174,4306,3934,6994,3005,1982,1492,356
265,265,9003,621952,Ciudad de México,Coyoacán,37799,0,43,525,1455,1579,2049,1942,1908,2492,3362,7296,7475,3613,2483,1340,237
984,984,19039,1124835,Nuevo León,Monterrey,37197,0,32,84,358,2000,3936,3260,3513,4487,4528,4514,6405,2152,996,698,234
275,275,9013,418060,Ciudad de México,Xochimilco,35813,0,21,407,1393,1647,1793,1294,1406,2054,2881,7170,7409,4244,2775,1116,203
1917,1917,26030,946054,Sonora,Hermosillo,34494,0,17,111,1403,3215,5886,3418,2121,2070,2738,6189,3872,1140,1086,991,237
273,273,9011,366586,Ciudad de México,Tláhuac,34279,0,11,304,1198,1238,1538,1315,1496,1920,2530,7347,8063,3812,2158,1160,189
264,264,9002,408441,Ciudad de México,Azcapotzalco,33442,0,36,357,1350,1499,1506,1471,1546,2111,2880,6292,7173,3586,2264,1127,244
277,277,9015,548606,Ciudad de México,Cuauhtémoc,33409,0,58,513,1353,1405,1431,1304,1673,2277,3435,6550,6591,3117,2291,1191,220
